scenario,run_date,gross_written_premium,num_policies,claim_frequency,mean_severity,severity_cv,expense_ratio,ri_cost_ratio,xl_retention,available_capital,expected_claim_count,expected_gross_loss,expenses,ri_cost,net_profit,loss_ratio,combined_ratio,mean_loss,std_dev,var_95,var_99,var_99_5,es_95,es_99,ruin_probability,net_available,scr,management_buffer,total_capital_required,solvency_ratio,rorc
Base,2026-05-27,100000000,50000,0.01,120000,1.5,0.3,0.08,500000,20000000,500.0,60000000.0,30000000.0,8000000.0,2000000.0,0.6,0.98,60001717.63283201,4827575.315009088,68274733.5315572,72245523.54087718,73819929.74422193,70724152.88988073,74412352.32171237,8e-05,62000000.0,13818212.111389913,2763642.422277983,16581854.533667896,1.2061377066957064,0.12051018558332317
Optimistic,2026-05-27,100000000,50000,0.005,100000,1.5,0.3,0.08,500000,20000000,250.0,25000000.0,30000000.0,8000000.0,37000000.0,0.25,0.63,24994652.831331685,2850714.0029762434,29923320.558850523,32406355.01086912,33431325.21980047,31469824.15463954,33838596.73822472,0.0,62000000.0,8436672.388468783,1687334.4776937568,10124006.86616254,1.9755024136585666,3.655207632498873
Stress,2026-05-27,100000000,50000,0.02,150000,2.0,0.3,0.08,500000,20000000,1000.0,150000000.0,30000000.0,8000000.0,-88000000.0,1.5,1.88,150042613.57468426,10597458.857982755,168228873.77109745,177310072.67789945,181094278.8025106,173931212.31714523,182722772.6963538,1.0,62000000.0,31051665.227826327,6210333.045565266,37261998.27339159,0.5367398670693889,-2.3627990353258803
